Failed with 404
         458229 function calls (433994 primitive calls) in 1.165 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       25    0.000    0.000    0.001    0.000 typing.py:747(Optional)
    29/16    0.000    0.000    0.115    0.007 {built-in method builtins.__import__}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      403    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        2    0.000    0.000    0.011    0.006 connection.py:1(<module>)
       40    0.000    0.000    0.678    0.017 {method 'readline' of '_io.BufferedReader' objects}
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       11    0.000    0.000    0.678    0.062 ssl.py:1236(recv_into)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.017    0.017 connectionpool.py:1(<module>)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
    87/62    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      332    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      3/2    0.000    0.000    0.495    0.247 sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.097    0.097 element.py:1(<module>)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      111    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        2    0.000    0.000    0.000    0.000 connection.py:418(request)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       52    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        4    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       58    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        3    0.000    0.000    0.012    0.004 response.py:1(<module>)
        3    0.000    0.000    0.035    0.012 exceptions.py:1(<module>)
       72    0.000    0.000    0.000    0.000 typing.py:2339(get_origin)
       45    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      305    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
      138    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    1.165    1.165 financial.py:1(<module>)
        2    0.000    0.000    0.001    0.001 models.py:1(<module>)
      118    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       11    0.000    0.000    0.678    0.062 socket.py:706(readinto)
        1    0.000    0.000    0.015    0.015 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        2    0.000    0.000    0.001    0.000 adapters.py:359(build_response)
      121    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       63    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.008    0.008 adapters.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
      429    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
       14    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        2    0.000    0.000    0.000    0.000 ssl.py:677(verify_mode)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
