Failed with 404
         458229 function calls (433994 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        1    0.000    0.000    0.091    0.091 element.py:1(<module>)
      403    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        2    0.000    0.000    0.011    0.005 connection.py:1(<module>)
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        7    0.000    0.000    0.001    0.000 typing.py:2790(_make_nmtuple)
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
        2    0.000    0.000    0.000    0.000 response.py:341(__init__)
      332    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      118    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
    87/62    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
        2    0.000    0.000    0.000    0.000 response.py:1202(read_chunked)
       45    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      111    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       72    0.000    0.000    0.000    0.000 typing.py:2339(get_origin)
       47    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       63    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 response.py:941(read)
        3    0.000    0.000    0.034    0.011 exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        2    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        2    0.000    0.000    0.001    0.001 models.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.008    0.008 adapters.py:1(<module>)
