Request: https://finance.yahoo.com/quote/MSFT/financials
Error: Failed with: 301
         461229 function calls (437349 primitive calls) in 0.748 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
    43/15    0.000    0.000    0.105    0.007 {built-in method builtins.__import__}
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        2    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
        3    0.000    0.000    0.000    0.000 _urlparse.py:213(urlparse)
       29    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
        1    0.000    0.000    0.000    0.000 types.py:275(coroutine)
        1    0.000    0.000    0.049    0.049 css_parser.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        6    0.000    0.000    0.000    0.000 typing.py:2815(<genexpr>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
       94    0.000    0.000    0.000    0.000 _models.py:166(encoding)
        2    0.000    0.000    0.015    0.007 _sockets.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.025    0.025 request.py:1(<module>)
  139/103    0.000    0.000    0.004    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      194    0.000    0.000    0.000    0.000 typing_extensions.py:3108(_is_unpacked_typevartuple)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 threading.py:873(Thread)
      105    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _synchronization.py:434(SemaphoreAdapter)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       36    0.000    0.000    0.001    0.000 typing.py:747(Optional)
        1    0.000    0.000    0.005    0.005 _multipart.py:1(<module>)
        1    0.000    0.000    0.100    0.100 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7b0264659bc0}
        1    0.000    0.000    0.000    0.000 __init__.py:100(CompleteDirs)
      209    0.000    0.000    0.001    0.000 typing.py:1481(<genexpr>)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       41    0.000    0.000    0.000    0.000 functools.py:516(decorating_function)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2256(__init__)
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
        2    0.000    0.000    0.001    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
        5    0.000    0.000    0.206    0.041 sync.py:124(read)
       28    0.000    0.000    0.001    0.000 typing.py:1575(__getitem__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
       28    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
       16    0.000    0.000    0.000    0.000 _readers.py:64(_decode_header_lines)
        2    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.003    0.003 ssl.py:1(<module>)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
